"","From","comp1","comp2","comp3","comp1_grouped"
"1","P68871","blood microparticle","cytosol","endocytic vesicle lumen","Blood Microparticle"
"2","P69905","blood microparticle","cytosol","endocytic vesicle lumen","Blood Microparticle"
"3","P02144","cytosol","extracellular exosome","sarcoplasm","Cytoplasm/Cytosol"
"4","P02768","blood microparticle","endoplasmic reticulum","endoplasmic reticulum lumen","Blood Microparticle"
"5","P06732","cytosol","extracellular space",NA,"Cytoplasm/Cytosol"
"6","P04075","actin cytoskeleton","cytosol","extracellular exosome","Cytoskeleton/Contractile"
"7","P04406","cytoplasm","cytosol","extracellular exosome","Cytoplasm/Cytosol"
"8","P12277","cytosol","extracellular exosome","extracellular space","Cytoplasm/Cytosol"
"9","P07451","cytoplasm","cytosol","nucleus","Cytoplasm/Cytosol"
"10","Q13642","cytoplasm","cytosol","focal adhesion","Cytoplasm/Cytosol"
"11","P68133","actin cytoskeleton","actin filament","blood microparticle","Cytoskeleton/Contractile"
"12","P06733","cell cortex","cell surface","cytoplasm","Membrane/Cell Surface"
"13","P02042","blood microparticle","cytosol","haptoglobin-hemoglobin complex","Blood Microparticle"
"14","P13929","cytosol","extracellular exosome","extracellular space","Cytoplasm/Cytosol"
"15","P60709","actin cytoskeleton","actin filament","adherens junction","Cytoskeleton/Contractile"
"16","P00915","cytoplasm","cytosol","extracellular exosome","Cytoplasm/Cytosol"
"17","P01857","blood microparticle","extracellular exosome","extracellular region","Blood Microparticle"
"18","P32119","cytoplasm","cytosol","extracellular exosome","Cytoplasm/Cytosol"
"19","P14618","cytoplasm","cytosol","extracellular exosome","Cytoplasm/Cytosol"
"20","P60174","cytosol","extracellular exosome","extracellular space","Cytoplasm/Cytosol"
"21","P09104","cell cortex","cell surface","cytosol","Membrane/Cell Surface"
"22","P18669","cytoplasm","cytosol","extracellular exosome","Cytoplasm/Cytosol"
"23","P02647","blood microparticle","chylomicron","cytoplasmic vesicle","Blood Microparticle"
"24","P31415","endoplasmic reticulum","mitochondrial matrix","mitochondrion","ER/Golgi/Vesicle"
"25","P00558","cytosol","extracellular exosome","extracellular space","Cytoplasm/Cytosol"
"26","P04792","axon cytoplasm","cornified envelope","cytoplasm","Cytoplasm/Cytosol"
"27","P05976","contractile muscle fiber","cytosol","muscle myosin complex","Sarcoplasmic/Myofibrillar"
"28","P01834","blood microparticle","extracellular exosome","extracellular region","Blood Microparticle"
"29","P11217","cytoplasm","cytosol","extracellular exosome","Cytoplasm/Cytosol"
"30","P02511","actin filament bundle","axon","cardiac myofibril","Cytoskeleton/Contractile"
"31","P00338","cytosol","extracellular exosome","membrane","Cytoplasm/Cytosol"
"32","P10916","A band","cardiac myofibril","cytoplasm","Sarcoplasmic/Myofibrillar"
"33","P00568","cytoplasm","cytosol","extracellular exosome","Cytoplasm/Cytosol"
"34","P15090","cytoplasm","cytosol","extracellular exosome","Cytoplasm/Cytosol"
"35","P05413","cytosol","extracellular exosome","extracellular space","Cytoplasm/Cytosol"
"36","O14983","calcium channel complex","endoplasmic reticulum membrane","endoplasmic reticulum-Golgi intermediate compartment","Protein Complex"
"37","P00918","apical part of cell","cytoplasm","cytosol","Other"
"38","P40925","centrosome","cytoplasm","cytosol","Cilia/Centrosome/Neuron"
"39","P01009","COPII-coated ER to Golgi transport vesicle","endoplasmic reticulum","endoplasmic reticulum lumen","ER/Golgi/Vesicle"
"40","P12883","cytoplasm","muscle myosin complex","myofibril","Cytoplasm/Cytosol"
"41","P01859","blood microparticle","extracellular exosome","extracellular region","Blood Microparticle"
"42","P15259","cytosol","extracellular exosome","nucleus","Cytoplasm/Cytosol"
"43","P11216","azurophil granule lumen","cytoplasm","extracellular exosome","Granule/Lysosome/Vesicle"
"44","P30041","azurophil granule lumen","cytoplasm","cytosol","Granule/Lysosome/Vesicle"
"45","P48735","cytosol","extracellular exosome","mitochondrial matrix","Cytoplasm/Cytosol"
