Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
A2M	ENSG00000175899	Alpha-2-macroglobulin	P01023	"Evidence at protein level"	"Secreted to blood"	"Enzyme inhibitor"	"Cluster 1: T-cells - Unknown function"	"Cluster 14: Adipose tissue - Angiogenesis"	138.4	0.9	0.3	105860188.9	169395385.1	"not detected"	"not detected"
A4GALT	ENSG00000128274	"Alpha 1,4-galactosyltransferase (P blood group)"	Q9NPC4	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	18.7	2.1	0.0				
AAAS	ENSG00000094914	"Aladin WD repeat nucleoporin"	Q9NRG9	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 49: Non-specific - Transcription"	20.8	43.4	12.5	4631846.0	1337857.9	medium	medium
AACS	ENSG00000081760	"Acetoacetyl-CoA synthetase"	Q86V21	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 58: Skin - Keratinization"	5.4	7.2	0.0	471057.8		medium	medium
AADAT	ENSG00000109576	"Aminoadipate aminotransferase"	Q8N5Z0	"Evidence at protein level"				"Cluster 45: Liver - Metabolism & Coagulation"	3.7	0.4	0.0			"not detected"	"not detected"
AAGAB	ENSG00000103591	"Alpha and gamma adaptin binding protein"	Q6PD74	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 76: Non-specific - Metabolism"	30.0	56.1	3.4			low	low
AAK1	ENSG00000115977	"AP2 associated kinase 1"	Q2M2I8	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 69: Parathyroid gland - Mixed function"	7.8	20.9	7.2	361864.5		"not detected"	"not detected"
AAMDC	ENSG00000087884	"Adipogenesis associated Mth938 domain containing"	Q9H7C9	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 25: Non-specific - Basic cellular processes"	621.6	21.8	1.7	14987490.6	169080885.2	"not detected"	"not detected"
AAMP	ENSG00000127837	"Angio associated migratory cell protein"	Q13685	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 70: Non-specific - Protein processing"	88.8	56.9	3.5	302238.7	192361.9	"not detected"	"not detected"
AAR2	ENSG00000131043	"AAR2 splicing factor"	Q9Y312	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 12: Smooth muscle tissue - ECM organization"	22.2	20.2	2.0				
AARS1	ENSG00000090861	"Alanyl-tRNA synthetase 1"	P49588	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 70: Non-specific - Protein processing"	54.1	62.7	7.2	17550619.3	15202988.6	low	low
AARS2	ENSG00000124608	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	4.5	12.0	0.0	3480279.3	1379363.7	medium	medium
AARSD1	ENSG00000266967	"Alanyl-tRNA synthetase domain containing 1"	Q9BTE6	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 25: Non-specific - Basic cellular processes"	64.7	1.8	1.5	3620542.2	1134946.7	"not detected"	"not detected"
AASDH	ENSG00000157426	"Aminoadipate-semialdehyde dehydrogenase"	Q4L235	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 61: Non-specific - Transcription"	3.9	28.7	4.7			high	high
AASDHPPT	ENSG00000149313	"Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	Q9NRN7	"Evidence at protein level"			"Cluster 1: T-cells - Unknown function"	"Cluster 10: Brain - Synaptic signal transduction"	30.8	70.5	2.5	4760678.9	2417163.6	low	low
AASS	ENSG00000008311	"Aminoadipate-semialdehyde synthase"	Q9UDR5	"Evidence at protein level"				"Cluster 31: Liver - Metabolism & Coagulation"	9.5	11.6	0.0	19479710.2	136714.9	low	low
AATF	ENSG00000275700	"Apoptosis antagonizing transcription factor"	Q9NY61	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 54: Non-specific - Ribosome"	37.2	24.0	1.8	78110.3		medium	medium
ABAT	ENSG00000183044	"4-aminobutyrate aminotransferase"	P80404	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 36: Brain & Liver - Signaling"	1.6	2.8	2.1	4136024.0		"not detected"	"not detected"
ABCA1	ENSG00000165029	"ATP binding cassette subfamily A member 1"	O95477	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 76: Non-specific - Metabolism"	10.3	4.4	4.5			medium	medium
ABCA10	ENSG00000154263	"ATP binding cassette subfamily A member 10"	Q8WWZ4	"Evidence at protein level"				"Cluster 75: Ovary - Mixed function"	5.6	2.8	0.0			low	low
ABCA2	ENSG00000107331	"ATP binding cassette subfamily A member 2"	Q9BZC7	"Evidence at protein level"			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 3: Oligodendrocytes - Myelination"	6.7	0.1	0.1			medium	medium
ABCA3	ENSG00000167972	"ATP binding cassette subfamily A member 3"	Q99758	"Evidence at protein level"				"Cluster 73: Brain - Neuronal signaling"	5.9	3.2	1.5			medium	medium
ABCA5	ENSG00000154265	"ATP binding cassette subfamily A member 5"	Q8WWZ7	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 63: Non-specific - Basic cellular processes"	30.4	18.5	3.2		3741288.9	high	high
ABCA6	ENSG00000154262	"ATP binding cassette subfamily A member 6"	Q8N139	"Evidence at protein level"				"Cluster 45: Liver - Metabolism & Coagulation"	5.1	0.2	0.0	166525.0			
ABCA7	ENSG00000064687	"ATP binding cassette subfamily A member 7"	Q8IZY2	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	7.5	63.3	4.7			"not detected"	"not detected"
ABCA8	ENSG00000141338	"ATP binding cassette subfamily A member 8"	O94911	"Evidence at protein level"				"Cluster 35: Non-specific - Mixed function"	11.5	0.0	0.0	27040559.5	532785.3	"not detected"	"not detected"
ABCA9	ENSG00000154258	"ATP binding cassette subfamily A member 9"	Q8IUA7	"Evidence at protein level"				"Cluster 75: Ovary - Mixed function"	12.7	0.0	0.0	60788.2		medium	medium
ABCB10	ENSG00000135776	"ATP binding cassette subfamily B member 10"	Q9NRK6	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 15: Bone marrow - Innate immune response"	12.0	338.0	62.7	7012001.2	3643932.4	medium	medium
ABCB4	ENSG00000005471	"ATP binding cassette subfamily B member 4"	P21439	"Evidence at protein level"			"Cluster 34: B-cells - Unknown function"	"Cluster 45: Liver - Metabolism & Coagulation"	7.0	4.9	1.5			"not detected"	"not detected"
ABCB6	ENSG00000115657	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	"Evidence at protein level"	"Intracellular and membrane"	Transport	"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 24: Non-specific - Transcription"	26.6	0.3	1.5	6452709.9	2063002.9	medium	medium
ABCB7	ENSG00000131269	"ATP binding cassette subfamily B member 7"	O75027	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 52: Non-specific - Cellular respiration"	29.2	104.9	9.7	28620520.5	1795108.7	"not detected"	"not detected"
ABCB8	ENSG00000197150	"ATP binding cassette subfamily B member 8"	Q9NUT2	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 70: Non-specific - Protein processing"	7.4	30.9	1.7	5492256.9	602963.2	medium	medium
ABCB9	ENSG00000150967	"ATP binding cassette subfamily B member 9"	Q9NP78	"Evidence at protein level"			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 27: Cerebellum - Synaptic function"	1.6	10.8	7.9			"not detected"	"not detected"
ABCC1	ENSG00000103222	"ATP binding cassette subfamily C member 1"	P33527	"Evidence at protein level"				"Cluster 12: Smooth muscle tissue - ECM organization"	14.1	5.6	0.1	166099.4	115030.9	"not detected"	"not detected"
ABCC10	ENSG00000124574	"ATP binding cassette subfamily C member 10"	Q5T3U5	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 64: Non-specific - Transcription"	7.5	8.7	0.2	306444.3		medium	medium
ABCC12	ENSG00000140798	"ATP binding cassette subfamily C member 12"		"Evidence at transcript level"				"Cluster 61: Non-specific - Transcription"	1.3	0.0	0.0				
ABCC2	ENSG00000023839	"ATP binding cassette subfamily C member 2"	Q92887	"Evidence at protein level"				"Cluster 45: Liver - Metabolism & Coagulation"	1.0	1.1	0.1			"not detected"	"not detected"
ABCC4	ENSG00000125257	"ATP binding cassette subfamily C member 4"	O15439	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 38: Non-specific - Basic cellular processes"	4.7	193.9	23.9			"not detected"	"not detected"
ABCC5	ENSG00000114770	"ATP binding cassette subfamily C member 5"	O15440	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 25: Non-specific - Basic cellular processes"	118.1	146.7	9.6			"not detected"	"not detected"
ABCC6	ENSG00000091262	"ATP binding cassette subfamily C member 6"	O95255	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 31: Liver - Metabolism & Coagulation"	3.6	0.0	0.0				
ABCC9	ENSG00000069431	"ATP binding cassette subfamily C member 9"	O60706	"Evidence at protein level"				"Cluster 76: Non-specific - Metabolism"	28.4	0.0	0.0	1361055.8	2678883.3		
ABCD1	ENSG00000101986	"ATP binding cassette subfamily D member 1"	P33897	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 24: Non-specific - Transcription"	19.5	0.3	0.0	1258068.7	198130.9	medium	medium
ABCD3	ENSG00000117528	"ATP binding cassette subfamily D member 3"	P28288	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 16: Liver & Kidney - Metabolism"	22.0	39.5	4.8	3068369.7	395747.7	medium	medium
ABCD4	ENSG00000119688	"ATP binding cassette subfamily D member 4"	O14678	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 26: Kidney & Intestine - Metabolism"	3.7	11.4	0.1	227189.2		low	low
ABCE1	ENSG00000164163	"ATP binding cassette subfamily E member 1"	P61221	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 61: Non-specific - Transcription"	27.0	136.6	8.1	4774575.5	1043294.5	"not detected"	"not detected"
ABCF1	ENSG00000204574	"ATP binding cassette subfamily F member 1"	Q8NE71	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 24: Non-specific - Transcription"	90.7	60.0	3.9	4043348.4	8832283.9	medium	medium
ABCF2	ENSG00000033050	"ATP binding cassette subfamily F member 2"	Q9UG63	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 25: Non-specific - Basic cellular processes"	38.4	1.1	0.0	729509.1	426349.3	"not detected"	"not detected"
ABCF2-H2BK1	ENSG00000285292	"ABCF2-H2BK1 readthrough"		"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 63: Non-specific - Basic cellular processes"	37.0	0.0	0.0			"not detected"	"not detected"
ABCF3	ENSG00000161204	"ATP binding cassette subfamily F member 3"	Q9NUQ8	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 4: Adrenal gland - Steroid metabolism"	49.5	9.6	0.6	3285299.9	3155596.5	medium	medium
