Gene,Ensembl,Gene description,Uniprot,Protein class,Biological process,Evidence,RNA blood lineage specificity,Protein tissue distribution,Secretome location,Secretome function,Blood concentration - Conc. blood MS [pg/L],Tissue protein MS - blood vessel [Intensity],Tissue protein MS - skeletal muscle [Intensity],Single Cell Type RNA - Erythrocyte progenitors [nCPM],Single Cell Type RNA - Erythrocytes [nCPM],Single Cell Type RNA - Myonuclei [nCPM],Single Cell Type RNA - Myosatellite cells [nCPM],Single Cell Type RNA - Platelets [nCPM],Cell type protein - Skeletal myofibers [Intensity]
A2M,ENSG00000175899,Alpha-2-macroglobulin,P01023,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",,Evidence at protein level,Lineage enhanced,Detected in all,Secreted to blood,Enzyme inhibitor,4.2E+11,612724001.9,127978138.1,0.9,0.3,105.1,10.6,5.6,169395385.1
A4GALT,ENSG00000128274,"Alpha 1,4-galactosyltransferase (P blood group)",Q9NPC4,"Enzymes, Metabolic proteins, Predicted membrane proteins","Lipid biosynthesis, Lipid metabolism",Evidence at protein level,Not detected,Detected in some,,,16000,15615.6,,2.1,0,0,0,0,
AAAS,ENSG00000094914,Aladin WD repeat nucleoporin,Q9NRG9,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters","mRNA transport, Protein transport, Translocation, Transport",Evidence at protein level,Low lineage specificity,Detected in many,,,,,250302,43.4,12.5,23.8,22.5,4.2,1337857.9
AACS,ENSG00000081760,Acetoacetyl-CoA synthetase,Q86V21,"Enzymes, Metabolic proteins, Predicted membrane proteins","Fatty acid metabolism, Lipid metabolism",Evidence at protein level,Low lineage specificity,Detected in many,,,,,,7.2,0,8.4,8,2.8,
AADAT,ENSG00000109576,Aminoadipate aminotransferase,Q8N5Z0,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,Evidence at protein level,Not detected,Detected in some,,,,,,0.4,0,9.2,6.9,0,
AAGAB,ENSG00000103591,Alpha and gamma adaptin binding protein,Q6PD74,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters","Protein transport, Transport",Evidence at protein level,Low lineage specificity,Detected in many,,,,,,56.1,3.4,65.2,28.4,24,
AAK1,ENSG00000115977,AP2 associated kinase 1,Q2M2I8,"Enzymes, Predicted intracellular proteins",Endocytosis,Evidence at protein level,Low lineage specificity,Detected in many,,,,1353560.9,1318451.8,20.9,7.2,419.4,72.2,36.6,
AAMDC,ENSG00000087884,Adipogenesis associated Mth938 domain containing,Q9H7C9,Predicted intracellular proteins,,Evidence at protein level,Low lineage specificity,Detected in all,,,,20195124.9,593886056.8,21.8,1.7,395.5,86.3,16.8,169080885.2
AAMP,ENSG00000127837,Angio associated migratory cell protein,Q13685,"Essential proteins, Plasma proteins, Predicted intracellular proteins","Angiogenesis, Differentiation",Evidence at protein level,Low lineage specificity,Detected in many,,,,,340755,56.9,3.5,9.9,22.1,2.8,192361.9
AAR2,ENSG00000131043,AAR2 splicing factor,Q9Y312,Predicted intracellular proteins,"mRNA processing, mRNA splicing",Evidence at protein level,Low lineage specificity,Detected in many,,,,,,20.2,2,14.7,7,2.8,
AARS1,ENSG00000090861,Alanyl-tRNA synthetase 1,P49588,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Protein biosynthesis,Evidence at protein level,Low lineage specificity,Detected in all,,,930000,12458332.2,5134328.9,62.7,7.2,40.6,32.5,2.8,15202988.6
AARS2,ENSG00000124608,"Alanyl-tRNA synthetase 2, mitochondrial",Q5JTZ9,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Protein biosynthesis,Evidence at protein level,Low lineage specificity,Detected in many,,,,,5268585.1,12,0,7.8,8.5,0,1379363.7
