Gene,ENSG ID,Conc [pg/L]
A1BG,ENSG00000121410,8.80E+10
A2M,ENSG00000175899,4.20E+11
A2ML1,ENSG00000166535,1.20E+07
A4GALT,ENSG00000128274,1.60E+04
AARS1,ENSG00000090861,9.30E+05
AASS,ENSG00000008311,2.00E+04
ABAT,ENSG00000183044,2.60E+06
ABCD3,ENSG00000117528,1.20E+04
ABCE1,ENSG00000164163,1.40E+05
ABCF1,ENSG00000204574,2.10E+05
ABCF2,ENSG00000033050,3.80E+03
ABHD10,ENSG00000144827,6.30E+04
ABHD11,ENSG00000106077,7.90E+03
ABHD14A,ENSG00000248487,1.00E+05
ABHD14B,ENSG00000114779,2.30E+06
ABHD16A,ENSG00000204427,1.60E+04
ABI1,ENSG00000136754,3.30E+05
ABI3BP,ENSG00000154175,8.40E+07
ABLIM3,ENSG00000173210,5.50E+03
ABRACL,ENSG00000146386,7.30E+06
ACAA1,ENSG00000060971,2.30E+06
ACAA2,ENSG00000167315,5.10E+06
ACACA,ENSG00000278540,3.10E+05
ACAD9,ENSG00000177646,8.90E+03
ACADM,ENSG00000117054,4.80E+05
ACADS,ENSG00000122971,1.40E+04
ACADSB,ENSG00000196177,5.00E+04
ACADVL,ENSG00000072778,6.90E+04
ACAN,ENSG00000157766,4.80E+07
ACAT1,ENSG00000075239,7.30E+05
ACAT2,ENSG00000120437,2.50E+06
ACBD3,ENSG00000182827,1.20E+04
ACE,ENSG00000159640,5.90E+07
ACE2,ENSG00000130234,2.20E+05
ACHE,ENSG00000087085,1.10E+06
ACIN1,ENSG00000100813,8.00E+04
ACLY,ENSG00000131473,4.00E+06
ACO1,ENSG00000122729,9.70E+06
ACO2,ENSG00000100412,2.50E+06
ACOT13,ENSG00000112304,8.20E+03
ACOT7,ENSG00000097021,6.20E+04
ACOT9,ENSG00000123130,9.50E+03
ACOX1,ENSG00000161533,7.90E+04
ACOX2,ENSG00000168306,1.70E+04
ACP1,ENSG00000143727,1.10E+06
ACP2,ENSG00000134575,1.70E+04
ACP3,ENSG00000014257,5.60E+05
ACP5,ENSG00000102575,9.90E+05
ACP6,ENSG00000162836,4.20E+04
ACSL1,ENSG00000151726,6.30E+04
ACSL3,ENSG00000123983,2.20E+04
ACSL4,ENSG00000068366,1.30E+04
ACSM2A,ENSG00000183747,8.70E+04
ACSS2,ENSG00000131069,5.80E+04
ACTA1,ENSG00000143632,3.50E+09
ACTA2,ENSG00000107796,3.10E+09
ACTB,ENSG00000075624,7.90E+09
ACTBL2,ENSG00000169067,1.10E+09
ACTG1,ENSG00000184009,7.60E+09
ACTL6A,ENSG00000136518,1.10E+04
ACTN1,ENSG00000072110,3.20E+08
ACTN2,ENSG00000077522,3.20E+07
ACTN3,ENSG00000248746,1.80E+07
ACTN4,ENSG00000130402,9.90E+07
ACTR1A,ENSG00000138107,6.50E+05
ACTR1B,ENSG00000115073,2.40E+05
ACTR2,ENSG00000138071,1.60E+07
ACTR3,ENSG00000115091,1.80E+07
ACY1,ENSG00000243989,1.90E+07
ACY3,ENSG00000132744,3.20E+04
ACYP1,ENSG00000119640,1.00E+05
ACYP2,ENSG00000170634,9.80E+03
ADA,ENSG00000196839,2.10E+05
ADA2,ENSG00000093072,3.90E+07
ADAM10,ENSG00000137845,9.50E+05
ADAM11,ENSG00000073670,2.30E+04
ADAM12,ENSG00000148848,1.40E+07
ADAM15,ENSG00000143537,3.60E+05
ADAM17,ENSG00000151694,4.70E+05
ADAM19,ENSG00000135074,1.40E+04
ADAM22,ENSG00000008277,8.50E+04
ADAM23,ENSG00000114948,2.50E+04
ADAM9,ENSG00000168615,3.90E+05
ADAMDEC1,ENSG00000134028,1.40E+07
ADAMTS1,ENSG00000154734,2.30E+06
ADAMTS13,ENSG00000160323,1.60E+08
ADAMTS2,ENSG00000087116,6.60E+06
ADAMTS4,ENSG00000158859,6.00E+04
ADAMTS5,ENSG00000154736,9.20E+03
ADAMTS8,ENSG00000134917,1.30E+07
ADAMTSL1,ENSG00000178031,6.00E+06
ADAMTSL2,ENSG00000197859,4.30E+07
ADAMTSL3,ENSG00000156218,2.50E+05
ADAMTSL4,ENSG00000143382,2.60E+07
ADAR,ENSG00000160710,2.40E+06
ADARB2,ENSG00000185736,7.30E+07
ADD1,ENSG00000087274,7.20E+05
ADD2,ENSG00000075340,4.70E+04
ADD3,ENSG00000148700,1.20E+05
ADGRA2,ENSG00000020181,7.30E+04
ADGRA3,ENSG00000152990,3.90E+05
ADGRB2,ENSG00000121753,1.30E+04
ADGRD1,ENSG00000111452,1.70E+05
ADGRE5,ENSG00000123146,3.30E+06
ADGRF5,ENSG00000069122,3.70E+07
ADGRG1,ENSG00000205336,8.30E+03
ADGRG2,ENSG00000173698,2.20E+06
ADGRG3,ENSG00000182885,3.50E+06
ADGRG6,ENSG00000112414,2.00E+07
ADGRL1,ENSG00000072071,1.90E+05
ADGRL2,ENSG00000117114,6.20E+05
ADGRL3,ENSG00000150471,1.40E+04
ADGRL4,ENSG00000162618,5.70E+06
ADH1A,ENSG00000187758,3.20E+07
ADH1B,ENSG00000196616,4.10E+07
ADH1C,ENSG00000248144,1.90E+07
ADH4,ENSG00000198099,1.40E+07
ADH5,ENSG00000197894,5.80E+06
ADH6,ENSG00000172955,1.30E+06
ADI1,ENSG00000182551,9.60E+04
ADIPOQ,ENSG00000181092,8.90E+08
ADIRF,ENSG00000148671,3.60E+05
ADK,ENSG00000156110,5.10E+05
ADM,ENSG00000148926,4.40E+05
ADPGK,ENSG00000159322,5.60E+04
ADPRS,ENSG00000116863,7.80E+04
ADRM1,ENSG00000130706,2.30E+05
ADSL,ENSG00000239900,3.20E+05
ADSS1,ENSG00000185100,1.50E+05
ADSS2,ENSG00000035687,5.00E+05
AEBP1,ENSG00000106624,5.40E+07
AFM,ENSG00000079557,1.90E+10
AFP,ENSG00000081051,3.00E+09
AGA,ENSG00000038002,7.80E+06
AGER,ENSG00000204305,7.20E+04
AGFG1,ENSG00000173744,4.50E+04
AGL,ENSG00000162688,8.40E+05
AGMAT,ENSG00000116771,1.20E+05
AGO2,ENSG00000123908,6.30E+04
AGPS,ENSG00000018510,3.90E+04
AGR3,ENSG00000173467,1.10E+05
AGRN,ENSG00000188157,1.60E+07
AGT,ENSG00000135744,4.00E+10
AGXT,ENSG00000172482,3.30E+06
AGXT2,ENSG00000113492,6.60E+03
AHCY,ENSG00000101444,7.20E+06
AHCYL1,ENSG00000168710,5.70E+04
AHCYL2,ENSG00000158467,9.10E+04
AHNAK,ENSG00000124942,4.80E+07
AHNAK2,ENSG00000185567,4.00E+05
AHSA1,ENSG00000100591,1.10E+05
AHSG,ENSG00000145192,1.10E+11
AHSP,ENSG00000169877,3.30E+06
AIF1,ENSG00000204472,5.60E+04
AIFM1,ENSG00000156709,2.40E+05
AIMP1,ENSG00000164022,3.10E+04
AIMP2,ENSG00000106305,3.90E+04
AIP,ENSG00000110711,1.00E+04
AK1,ENSG00000106992,1.00E+07
AK2,ENSG00000004455,1.50E+06
AK3,ENSG00000147853,1.30E+05
AKAP12,ENSG00000131016,3.70E+06
AKAP13,ENSG00000170776,5.10E+03
AKR1A1,ENSG00000117448,5.80E+06
AKR1B1,ENSG00000085662,1.60E+06
AKR1B10,ENSG00000198074,2.50E+05
AKR1C1,ENSG00000187134,3.40E+06
AKR1C2,ENSG00000151632,3.30E+06
AKR1C3,ENSG00000196139,2.70E+06
AKR1C4,ENSG00000198610,2.50E+06
AKR1D1,ENSG00000122787,1.30E+05
AKR7A2,ENSG00000053371,1.50E+06
AKR7A3,ENSG00000162482,1.60E+06
AKT1,ENSG00000142208,7.60E+03
ALAD,ENSG00000148218,1.70E+07
ALCAM,ENSG00000170017,1.10E+08
ALDH16A1,ENSG00000161618,7.20E+05
ALDH18A1,ENSG00000059573,7.00E+04
ALDH1A1,ENSG00000165092,5.00E+07
ALDH1A2,ENSG00000128918,3.50E+05
ALDH1B1,ENSG00000137124,3.20E+05
ALDH1L1,ENSG00000144908,4.50E+06
ALDH2,ENSG00000111275,3.20E+06
ALDH3A1,ENSG00000108602,7.00E+04
ALDH3A2,ENSG00000072210,6.70E+04
ALDH4A1,ENSG00000159423,8.20E+04
ALDH5A1,ENSG00000112294,8.70E+04
ALDH6A1,ENSG00000119711,4.40E+04
ALDH7A1,ENSG00000164904,7.50E+05
ALDH8A1,ENSG00000118514,5.60E+04
ALDH9A1,ENSG00000143149,3.20E+06
ALDOA,ENSG00000149925,3.10E+08
ALDOB,ENSG00000136872,2.90E+08
ALDOC,ENSG00000109107,5.60E+07
ALG13,ENSG00000101901,2.60E+07
ALOX12,ENSG00000108839,2.80E+05
ALOX12B,ENSG00000179477,1.40E+05
ALOXE3,ENSG00000179148,4.90E+04
ALPI,ENSG00000163295,3.50E+05
ALPL,ENSG00000162551,9.40E+06
ALPP,ENSG00000163283,3.30E+06
AMACR,ENSG00000242110,3.50E+04
AMBN,ENSG00000178522,1.70E+04
