From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function)
P68871,P68871,reviewed,HBB_HUMAN,Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin],HBB,Homo sapiens (Human),147,blood vessel diameter maintenance [GO:0097746]; carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; platelet aggregation [GO:0070527]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; regulation of blood pressure [GO:0008217]; renal absorption [GO:0070293]; response to hydrogen peroxide [GO:0042542],blood microparticle [GO:0072562]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; tertiary granule lumen [GO:1904724],blood microparticle [GO:0072562]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; tertiary granule lumen [GO:1904724]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; hemoglobin binding [GO:0030492]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; blood vessel diameter maintenance [GO:0097746]; carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; platelet aggregation [GO:0070527]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; regulation of blood pressure [GO:0008217]; renal absorption [GO:0070293]; response to hydrogen peroxide [GO:0042542],heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; hemoglobin binding [GO:0030492]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]
P69905,P69905,reviewed,HBA_HUMAN,Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin],HBA1; HBA2,Homo sapiens (Human),142,carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; response to hydrogen peroxide [GO:0042542],blood microparticle [GO:0072562]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; membrane [GO:0016020],blood microparticle [GO:0072562]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; erythrocyte development [GO:0048821]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; response to hydrogen peroxide [GO:0042542],heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]
P02144,P02144,reviewed,MYG_HUMAN,Myoglobin (Nitrite reductase MB) (EC 1.7.-.-) (Pseudoperoxidase MB) (EC 1.11.1.-),MB,Homo sapiens (Human),154,brown fat cell differentiation [GO:0050873]; enucleate erythrocyte differentiation [GO:0043353]; heart development [GO:0007507]; oxygen transport [GO:0015671]; removal of superoxide radicals [GO:0019430]; response to hypoxia [GO:0001666]; skeletal muscle contraction [GO:0003009],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; sarcoplasm [GO:0016528],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; sarcoplasm [GO:0016528]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitrite reductase activity [GO:0098809]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; brown fat cell differentiation [GO:0050873]; enucleate erythrocyte differentiation [GO:0043353]; heart development [GO:0007507]; oxygen transport [GO:0015671]; removal of superoxide radicals [GO:0019430]; response to hypoxia [GO:0001666]; skeletal muscle contraction [GO:0003009],heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitrite reductase activity [GO:0098809]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]
P02768,P02768,reviewed,ALBU_HUMAN,Albumin,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341,Homo sapiens (Human),609,bilirubin transport [GO:0015723]; cellular response to calcium ion starvation [GO:0072732]; cellular response to starvation [GO:0009267]; negative regulation of mitochondrial depolarization [GO:0051902]; response to nutrient levels [GO:0031667],blood microparticle [GO:0072562]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991],blood microparticle [GO:0072562]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; antioxidant activity [GO:0016209]; copper ion binding [GO:0005507]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; molecular carrier activity [GO:0140104]; protein-folding chaperone binding [GO:0051087]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]; bilirubin transport [GO:0015723]; cellular response to calcium ion starvation [GO:0072732]; cellular response to starvation [GO:0009267]; negative regulation of mitochondrial depolarization [GO:0051902]; response to nutrient levels [GO:0031667],antioxidant activity [GO:0016209]; copper ion binding [GO:0005507]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; molecular carrier activity [GO:0140104]; protein-folding chaperone binding [GO:0051087]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]
P06732,P06732,reviewed,KCRM_HUMAN,Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK),CKM CKMM,Homo sapiens (Human),381,phosphocreatine biosynthetic process [GO:0046314],cytosol [GO:0005829]; extracellular space [GO:0005615],cytosol [GO:0005829]; extracellular space [GO:0005615]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314],ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]
P04075,P04075,reviewed,ALDOA_HUMAN,Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase),ALDOA ALDA,Homo sapiens (Human),364,"actin filament organization [GO:0007015]; ATP biosynthetic process [GO:0006754]; binding of sperm to zona pellucida [GO:0007339]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose metabolic process [GO:0006000]; glycolytic process [GO:0006096]; muscle cell cellular homeostasis [GO:0046716]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; protein homotetramerization [GO:0051289]; regulation of cell shape [GO:0008360]; striated muscle contraction [GO:0006941]",actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; I band [GO:0031674]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]; sperm head [GO:0061827]; tertiary granule lumen [GO:1904724],"actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; I band [GO:0031674]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]; sperm head [GO:0061827]; tertiary granule lumen [GO:1904724]; actin binding [GO:0003779]; cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; fructose binding [GO:0070061]; fructose-bisphosphate aldolase activity [GO:0004332]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; tubulin binding [GO:0015631]; actin filament organization [GO:0007015]; ATP biosynthetic process [GO:0006754]; binding of sperm to zona pellucida [GO:0007339]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose metabolic process [GO:0006000]; glycolytic process [GO:0006096]; muscle cell cellular homeostasis [GO:0046716]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; protein homotetramerization [GO:0051289]; regulation of cell shape [GO:0008360]; striated muscle contraction [GO:0006941]",actin binding [GO:0003779]; cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; fructose binding [GO:0070061]; fructose-bisphosphate aldolase activity [GO:0004332]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; tubulin binding [GO:0015631]
P04406,P04406,reviewed,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),GAPDH GAPD CDABP0047 OK/SW-cl.12,Homo sapiens (Human),335,antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; canonical glycolysis [GO:0061621]; cellular response to type II interferon [GO:0071346]; defense response to fungus [GO:0050832]; glycolytic process [GO:0006096]; killing by host of symbiont cells [GO:0051873]; killing of cells of another organism [GO:0031640]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of translation [GO:0017148]; neuron apoptotic process [GO:0051402]; peptidyl-cysteine S-trans-nitrosylation [GO:0035606]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cytokine production [GO:0001819]; positive regulation of type I interferon production [GO:0032481]; protein stabilization [GO:0050821]; regulation of macroautophagy [GO:0016241],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; GAIT complex [GO:0097452]; lipid droplet [GO:0005811]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]; vesicle [GO:0031982],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; GAIT complex [GO:0097452]; lipid droplet [GO:0005811]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]; vesicle [GO:0031982]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; disordered domain specific binding [GO:0097718]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; peptidyl-cysteine S-nitrosylase activity [GO:0035605]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; canonical glycolysis [GO:0061621]; cellular response to type II interferon [GO:0071346]; defense response to fungus [GO:0050832]; glycolytic process [GO:0006096]; killing by host of symbiont cells [GO:0051873]; killing of cells of another organism [GO:0031640]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of translation [GO:0017148]; neuron apoptotic process [GO:0051402]; peptidyl-cysteine S-trans-nitrosylation [GO:0035606]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cytokine production [GO:0001819]; positive regulation of type I interferon production [GO:0032481]; protein stabilization [GO:0050821]; regulation of macroautophagy [GO:0016241],aspartic-type endopeptidase inhibitor activity [GO:0019828]; disordered domain specific binding [GO:0097718]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; peptidyl-cysteine S-nitrosylase activity [GO:0035605]
P12277,P12277,reviewed,KCRB_HUMAN,Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B),CKB CKBB,Homo sapiens (Human),381,futile creatine cycle [GO:0140651]; phosphocreatine biosynthetic process [GO:0046314]; substantia nigra development [GO:0021762],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; ubiquitin protein ligase binding [GO:0031625]; futile creatine cycle [GO:0140651]; phosphocreatine biosynthetic process [GO:0046314]; substantia nigra development [GO:0021762],ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; ubiquitin protein ligase binding [GO:0031625]
P07451,P07451,reviewed,CAH3_HUMAN,Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III),CA3,Homo sapiens (Human),260,cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to leptin stimulus [GO:0044320]; liver regeneration [GO:0097421]; negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide [GO:1903751]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; positive regulation of cell population proliferation [GO:0008284]; response to bacterium [GO:0009617]; response to ethanol [GO:0045471]; response to lipid [GO:0033993]; response to oxidative stress [GO:0006979]; skeletal muscle contraction [GO:0003009],cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; sarcomere [GO:0030017],cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; sarcomere [GO:0030017]; carbonate dehydratase activity [GO:0004089]; nickel cation binding [GO:0016151]; phosphatase activity [GO:0016791]; zinc ion binding [GO:0008270]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to leptin stimulus [GO:0044320]; liver regeneration [GO:0097421]; negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide [GO:1903751]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; positive regulation of cell population proliferation [GO:0008284]; response to bacterium [GO:0009617]; response to ethanol [GO:0045471]; response to lipid [GO:0033993]; response to oxidative stress [GO:0006979]; skeletal muscle contraction [GO:0003009],carbonate dehydratase activity [GO:0004089]; nickel cation binding [GO:0016151]; phosphatase activity [GO:0016791]; zinc ion binding [GO:0008270]
Q13642,Q13642,reviewed,FHL1_HUMAN,Four and a half LIM domains protein 1 (FHL-1) (Skeletal muscle LIM-protein 1) (SLIM) (SLIM-1),FHL1 SLIM1,Homo sapiens (Human),323,animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; muscle organ development [GO:0007517]; negative regulation of cell growth [GO:0030308]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; positive regulation of potassium ion transmembrane transport [GO:1901381]; regulation of atrial cardiac muscle cell membrane depolarization [GO:0060371],cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886],cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; channel activator activity [GO:0099103]; potassium channel activator activity [GO:0099104]; transmembrane transporter binding [GO:0044325]; zinc ion binding [GO:0008270]; animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; muscle organ development [GO:0007517]; negative regulation of cell growth [GO:0030308]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; positive regulation of potassium ion transmembrane transport [GO:1901381]; regulation of atrial cardiac muscle cell membrane depolarization [GO:0060371],channel activator activity [GO:0099103]; potassium channel activator activity [GO:0099104]; transmembrane transporter binding [GO:0044325]; zinc ion binding [GO:0008270]
